#tax_id,GeneID,Symbol
9606,54470,ARMCX6
9606,387715,ARMS2
9606,405,ARNT
9606,56938,ARNTL2
9606,10095,ARPC1B
9606,10777,ARPP21
9606,407,ARR3
9606,408,ARRB1
9606,57561,ARRDC3
9606,410,ARSA
9606,411,ARSB
9606,414,ARSD
9606,415,ARSE
9606,416,ARSF
9606,22901,ARSG
9606,340075,ARSI
9606,420,ART4
9606,64801,ARV1
9606,421,ARVCF
9606,170302,ARX
9606,427,ASAH1
9606,50807,ASAP1
9606,136371,ASB10
9606,140456,ASB11
9606,142689,ASB12
9606,142685,ASB15
9606,401036,ASB18
9606,140462,ASB9
9606,51008,ASCC1
9606,429,ASCL1
9606,433,ASGR2
9606,40,ASIC2
9606,434,ASIP
9606,435,ASL
9606,438,ASMT
9606,8623,ASMTL
9606,80161,ASMTL-AS1
9606,439,ASNA1
9606,440,ASNS
9606,443,ASPA
9606,444,ASPH
9606,259266,ASPM
9606,54829,ASPN
9606,151516,ASPRV1
9606,79058,ASPSCR1
9606,445,ASS1
9606,23245,ASTN2
9606,171023,ASXL1
9606,55252,ASXL2
9606,80816,ASXL3
9606,54454,ATAD2B
9606,55210,ATAD3A
9606,85300,ATCAY
9606,466,ATF1
9606,1386,ATF2
9606,467,ATF3
9606,22926,ATF6
9606,1388,ATF6B
9606,9776,ATG13
9606,55054,ATG16L1
9606,55102,ATG2B
9606,285973,ATG9B
9606,471,ATIC
9606,51062,ATL1
9606,25923,ATL3
9606,472,ATM
9606,1822,ATN1
9606,220202,ATOH7
9606,57194,ATP10A
9606,286410,ATP11C
9606,23400,ATP13A2
9606,476,ATP1A1
9606,477,ATP1A2
9606,478,ATP1A3
9606,481,ATP1B1
9606,23439,ATP1B4
9606,487,ATP2A1
9606,488,ATP2A2
9606,489,ATP2A3
9606,490,ATP2B1
9606,491,ATP2B2
9606,492,ATP2B3
9606,493,ATP2B4
9606,27032,ATP2C1
9606,498,ATP5F1A
9606,514,ATP5F1E
9606,537,ATP6AP1
9606,10159,ATP6AP2
9606,535,ATP6V0A1
9606,23545,ATP6V0A2
9606,50617,ATP6V0A4
9606,9114,ATP6V0D1
9606,523,ATP6V1A
9606,525,ATP6V1B1
9606,526,ATP6V1B2
9606,245973,ATP6V1C2
9606,529,ATP6V1E1
9606,538,ATP7A
9606,540,ATP7B
9606,51761,ATP8A2
9606,5205,ATP8B1
9606,91647,ATPAF2
9606,545,ATR
9606,84126,ATRIP
9606,8455,ATRN
9606,546,ATRX
9606,6310,ATXN1
9606,25814,ATXN10
9606,6311,ATXN2
9606,4287,ATXN3
9606,92552,ATXN3L
9606,6314,ATXN7
9606,6315,ATXN8OS
9606,549,AUH
9606,550,AUP1
9606,6790,AURKA
9606,6795,AURKC
9606,26053,AUTS2
9606,551,AVP
9606,554,AVPR2
9606,158833,AWAT1
9606,158835,AWAT2
9606,126859,AXDND1
9606,8312,AXIN1
9606,8313,AXIN2
9606,567,B2M
9606,8706,B3GALNT1
9606,148789,B3GALNT2
9606,8708,B3GALT1
9606,8707,B3GALT2
9606,126792,B3GALT6
9606,26229,B3GAT3
9606,145173,B3GLCT
9606,10331,B3GNT3
9606,192134,B3GNT6
9606,2583,B4GALNT1
9606,2683,B4GALT1
9606,8703,B4GALT3
9606,11285,B4GALT7
9606,11041,B4GAT1
9606,27077,B9D1
9606,80776,B9D2
9606,570,BAAT
9606,9577,BABAM2
9606,23621,BACE1
9606,571,BACH1
9606,573,BAG1
9606,9531,BAG3
9606,10458,BAIAP2
9606,55971,BAIAP2L1
9606,80115,BAIAP2L2
9606,8938,BAIAP3
9606,8815,BANF1
9606,55024,BANK1
9606,54971,BANP
9606,8314,BAP1
9606,580,BARD1
9606,581,BAX
9606,9031,BAZ1B
